h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.822944,1.26793,0.822944,1.26793,"{'att': 374, 'def': 33}","{'att': 309, 'def': 19}",9,5,0,1,0.9577,l,13/09/2020 15:30,0,0,1,0,-0.444986
h,2.87455,0.959804,2.87455,0.959804,"{'att': 117, 'def': 12}","{'att': 304, 'def': 22}",13,5,3,1,2.6566,w,18/04/2021 15:00,1,0,0,3,1.914746
h,0.8536,1.09361,0.8536,0.33244,"{'att': 242, 'def': 21}","{'att': 292, 'def': 19}",6,3,1,2,1.0531,l,14/02/2021 12:00,0,0,1,0,0.52116
h,0.569446,2.393,0.569446,1.63183,"{'att': 358, 'def': 29}","{'att': 267, 'def': 29}",2,13,0,1,0.243,l,04/02/2021 20:00,0,0,1,0,-1.062384
h,1.75343,1.28331,1.75343,1.28331,"{'att': 255, 'def': 22}","{'att': 224, 'def': 14}",7,7,1,0,1.7438,w,23/11/2020 17:30,1,0,0,3,0.47012
h,1.23419,0.723112,1.23419,0.723112,"{'att': 121, 'def': 27}","{'att': 298, 'def': 17}",12,1,2,1,1.7734,w,26/04/2021 19:00,1,0,0,3,0.511078
h,0.351673,2.24049,0.351673,2.24049,"{'att': 137, 'def': 17}","{'att': 277, 'def': 24}",0,3,0,4,0.1574,l,25/04/2021 11:00,0,0,1,0,-1.888817
h,0.998377,1.7945,0.998377,1.7945,"{'att': 305, 'def': 19}","{'att': 128, 'def': 13}",6,7,1,3,0.6924,l,19/05/2021 18:00,0,0,1,0,-0.796123
h,1.14303,1.91539,1.14303,1.91539,"{'att': 174, 'def': 31}","{'att': 291, 'def': 20}",10,2,1,2,0.7529,l,03/02/2021 19:30,0,0,1,0,-0.77236
h,0.80527,0.849709,0.80527,0.0885404,"{'att': 89, 'def': 20}","{'att': 247, 'def': 14}",17,2,1,0,1.1601,w,21/09/2020 17:00,1,0,0,3,0.7167296
h,1.1364,0.785914,1.1364,0.785914,"{'att': 246, 'def': 24}","{'att': 138, 'def': 26}",5,14,1,2,1.6378,l,26/01/2021 18:00,0,0,1,0,0.350486
h,0.623045,1.64144,0.623045,0.880268,"{'att': 453, 'def': 23}","{'att': 149, 'def': 14}",4,9,1,2,0.4956,l,07/02/2021 19:15,0,0,1,0,-0.257223
h,3.19575,0.200953,3.19575,0.200953,"{'att': 137, 'def': 10}","{'att': 493, 'def': 18}",18,2,2,0,2.9401,w,26/12/2020 20:00,1,0,0,3,2.994797
h,1.1449,0.615727,1.1449,0.615727,"{'att': 397, 'def': 22}","{'att': 188, 'def': 22}",9,7,2,0,1.8511,w,19/01/2021 20:15,1,0,0,3,0.529173
h,2.07383,1.68325,2.07383,1.68325,"{'att': 310, 'def': 23}","{'att': 227, 'def': 30}",2,12,3,1,1.6653,w,13/02/2021 12:30,1,0,0,3,0.39058
h,1.48207,0.411046,1.48207,0.411046,"{'att': 252, 'def': 23}","{'att': 290, 'def': 11}",10,3,1,0,2.4391,w,29/12/2020 20:00,1,0,0,3,1.071024
h,1.42614,1.84922,1.42614,1.08806,"{'att': 222, 'def': 20}","{'att': 303, 'def': 8}",6,5,1,0,1.0165,w,07/11/2020 20:00,1,0,0,3,0.33808
h,0.172988,1.78751,0.172988,1.78751,"{'att': 320, 'def': 11}","{'att': 258, 'def': 20}",0,7,0,2,0.2134,l,02/05/2021 13:00,0,0,1,0,-1.614522
h,0.869874,4.03429,0.869874,4.03429,"{'att': 385, 'def': 23}","{'att': 161, 'def': 10}",4,7,0,4,0.0513,l,02/01/2021 20:00,0,0,1,0,-3.164416
h,1.25106,0.568803,1.25106,0.568803,"{'att': 323, 'def': 30}","{'att': 201, 'def': 18}",3,8,0,1,2.0613,l,26/12/2020 20:00,0,0,1,0,0.682257
h,0.371045,1.19713,0.371045,1.19713,"{'att': 202, 'def': 18}","{'att': 348, 'def': 20}",5,4,0,1,0.5598,l,01/01/2021 17:30,0,0,1,0,-0.826085
h,0.314075,2.55085,0.314075,2.55085,"{'att': 289, 'def': 22}","{'att': 353, 'def': 30}",1,9,0,2,0.0685,l,14/02/2021 19:00,0,0,1,0,-2.236775
h,1.58872,1.32586,1.58872,0.56469,"{'att': 128, 'def': 23}","{'att': 357, 'def': 29}",5,8,3,1,1.5599,w,11/05/2021 21:00,1,0,0,3,1.02403
h,0.727677,2.07651,0.727677,1.31535,"{'att': 430, 'def': 14}","{'att': 228, 'def': 30}",3,9,1,3,0.422,l,21/09/2020 19:15,0,0,1,0,-0.587673
h,0.568258,2.24838,0.568258,2.24838,"{'att': 486, 'def': 18}","{'att': 118, 'def': 15}",3,15,0,5,0.204,l,26/01/2021 20:15,0,0,1,0,-1.680122
h,1.56644,1.7851,0.805276,1.7851,"{'att': 130, 'def': 24}","{'att': 327, 'def': 13}",8,7,1,2,1.228,l,11/12/2020 20:00,0,0,1,0,-0.979824
h,0.741154,1.79064,0.741154,1.79064,"{'att': 170, 'def': 22}","{'att': 259, 'def': 15}",7,6,1,3,0.6338,l,03/02/2021 20:15,0,0,1,0,-1.049486
h,1.44633,2.86721,1.44633,0.583704,"{'att': 144, 'def': 27}","{'att': 301, 'def': 12}",5,3,2,5,0.4174,l,27/09/2020 15:30,0,0,1,0,0.862626
h,0.439681,1.72011,0.439681,0.958941,"{'att': 241, 'def': 38}","{'att': 216, 'def': 20}",8,6,0,2,0.2982,l,21/03/2021 19:30,0,0,1,0,-0.51926
h,0.691013,3.18063,0.691013,3.18063,"{'att': 338, 'def': 25}","{'att': 402, 'def': 30}",6,11,1,3,0.148,l,03/01/2021 16:30,0,0,1,0,-2.489617
h,0.837048,2.73316,0.837048,2.73316,"{'att': 291, 'def': 25}","{'att': 171, 'def': 13}",11,13,0,3,0.3093,l,19/05/2021 19:15,0,0,1,0,-1.896112
