h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.14202,2.07854,1.14202,2.07854,"{'att': 306, 'def': 14}","{'att': 77, 'def': 19}",3,20,1,2,0.7599,l,16/05/2021 15:30,0,0,1,0,-0.93652
h,0.687544,1.89643,0.687544,1.89643,"{'att': 449, 'def': 24}","{'att': 188, 'def': 12}",3,9,0,1,0.4224,l,31/10/2020 12:30,0,0,1,0,-1.208886
h,3.34385,0.601768,2.58268,0.601768,"{'att': 140, 'def': 17}","{'att': 312, 'def': 14}",21,3,2,0,2.8503,w,20/01/2021 20:00,1,0,0,3,1.980912
h,1.21783,1.5161,1.21783,1.5161,"{'att': 125, 'def': 17}","{'att': 379, 'def': 21}",18,0,2,1,1.0954,w,16/12/2020 20:00,1,0,0,3,-0.29827
h,0.760574,1.92892,0.760574,1.92892,"{'att': 239, 'def': 20}","{'att': 354, 'def': 16}",5,2,2,1,0.3903,w,27/02/2021 12:30,1,0,0,3,-1.168346
h,1.19792,0.679649,1.19792,0.679649,"{'att': 309, 'def': 15}","{'att': 135, 'def': 22}",5,14,1,0,1.7979,w,06/02/2021 12:30,1,0,0,3,0.518271
h,1.85362,0.815375,1.85362,0.815375,"{'att': 152, 'def': 16}","{'att': 297, 'def': 20}",11,3,0,1,2.1552,l,13/12/2020 19:15,0,0,1,0,1.038245
h,2.95137,1.44437,2.95137,1.44437,"{'att': 101, 'def': 24}","{'att': 251, 'def': 16}",16,3,5,2,2.363,w,16/12/2020 18:00,1,0,0,3,1.507
h,2.88355,1.07258,2.88355,0.297804,"{'att': 200, 'def': 20}","{'att': 497, 'def': 26}",9,3,5,0,2.5201,w,23/05/2021 15:00,1,0,0,3,2.585746
h,1.84262,1.34279,1.84262,1.34279,"{'att': 164, 'def': 18}","{'att': 184, 'def': 13}",13,3,1,2,1.7248,l,11/04/2021 11:00,0,0,1,0,0.49983
h,0.534675,2.03222,0.534675,2.03222,"{'att': 143, 'def': 24}","{'att': 307, 'def': 33}",5,10,0,3,0.3682,l,28/09/2020 17:00,0,0,1,0,-1.497545
